,Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
12413,Charai Hayama ni Kyun to Kita,11543,Manga,2,Sep 2015 - May 2016,2600,https://myanimelist.net/manga/97450/Charai_Hayama_ni_Kyun_to_Kita,https://cdn.myanimelist.net/r/100x140/images/manga/3/174283.jpg?s=257cca8fb602c548336aa0b1df9d500f,6.78
12414,Shiori no Nikki,17468,Manga,3,Feb 2019 - Dec 2020,1290,https://myanimelist.net/manga/125940/Shiori_no_Nikki,https://cdn.myanimelist.net/r/100x140/images/manga/2/229372.jpg?s=610c308d24ac66c5084f6fb5fcee3dfe,5.89
12415,Joou-sama no Eshi,16652,Manga,4,Jul 2014 - Oct 2016,3665,https://myanimelist.net/manga/72581/Joou-sama_no_Eshi,https://cdn.myanimelist.net/r/100x140/images/manga/1/188894.jpg?s=bb77c4f25af563bde61a898b4783ce6c,6.24
0,City Hunter,460,Manga,35,Feb 1985 - Nov 1991,14690,https://myanimelist.net/manga/792/City_Hunter,https://cdn.myanimelist.net/r/100x140/images/manga/5/272237.jpg?s=91027a075fc64be41ed3f44b0186cc64,8.16
1,Keijo!!!!!!!!,4532,Manga,18,Jul 2013 - Apr 2017,12689,https://myanimelist.net/manga/56505/Keijo,https://cdn.myanimelist.net/r/100x140/images/manga/3/168393.jpg?s=630ab39042bfd9b95226a974cb5920b3,7.31
2,Rain,1808,Manga,?,Nov 2008 -,12021,https://myanimelist.net/manga/17237/Rain,https://cdn.myanimelist.net/r/100x140/images/manga/3/25899.jpg?s=fc5341a8b225edc266780a138e24db97,7.67
3,Hidari no Futari,17377,One-shot,?,2011 - 2011,1010,https://myanimelist.net/manga/26610/Hidari_no_Futari,https://cdn.myanimelist.net/r/100x140/images/manga/3/42789.jpg?s=491ea73ed1f10bba3610c7b74ef277af,5.95
4,Odd Girl Out,953,Manhwa,?,May 2015 -,4968,https://myanimelist.net/manga/119521/Odd_Girl_Out,https://cdn.myanimelist.net/r/100x140/images/manga/2/222276.jpg?s=bef6998d7e636de5d833d0be680b4118,7.9
5,Watashi no Fushidara,17169,Manga,2,Nov 2015 - Dec 2016,3659,https://myanimelist.net/manga/106646/Watashi_no_Fushidara,https://cdn.myanimelist.net/r/100x140/images/manga/2/195205.jpg?s=bf37e6541ed445b79ac486401226e59d,6.07
6,Uchuu Senkan Yamato,12124,Manga,3,Oct 1974 - Dec 1979,1168,https://myanimelist.net/manga/33333/Uchuu_Senkan_Yamato,https://cdn.myanimelist.net/r/100x140/images/manga/1/284283.jpg?s=18071abe2d33c7585485a9f90a743049,6.74
7,Ruru Chouchou,13402,One-shot,?,Dec 2012 - Dec 2012,457,https://myanimelist.net/manga/47807/Ruru_Chouchou,https://cdn.myanimelist.net/r/100x140/images/manga/4/111251.jpg?s=4273abac7c8a2e943c9d13243b6b5a17,6.64
8,Confession,4417,Manga,1,Apr 1998 - Sep 1998,6005,https://myanimelist.net/manga/1541/Confession,https://cdn.myanimelist.net/r/100x140/images/manga/3/13085.jpg?s=285e4f27a7be4d0d43cf08e44c5dc109,7.32
9,Ibara no Namida,12480,Manga,1,Jan 2011 - Jan 2011,580,https://myanimelist.net/manga/33841/Ibara_no_Namida,https://cdn.myanimelist.net/r/100x140/images/manga/1/61707.jpg?s=e3ab7f88a18db79595cd8ca87ca04c43,6.71
10,Inuyashiki,2257,Manga,10,Jan 2014 - Jul 2017,57102,https://myanimelist.net/manga/64465/Inuyashiki,https://cdn.myanimelist.net/r/100x140/images/manga/2/156353.jpg?s=ded4aa7026a2a2a078ee791cb0e31fea,7.59
11,Kiratto!☆Yell,16913,One-shot,?,2012 - 2012,319,https://myanimelist.net/manga/47633/Kiratto☆Yell,https://cdn.myanimelist.net/r/100x140/images/manga/1/112061.jpg?s=50f25cbf63aa256edeaebe6a766afcac,6.17
12,The Girl's Winter,7215,Manhwa,?,2007 - 2007,695,https://myanimelist.net/manga/3898/The_Girls_Winter,https://cdn.myanimelist.net/r/100x140/images/manga/1/4464.jpg?s=f5c43cc9c2742dca40bf0baa2d658091,7.09
13,Hinamizawa Teiryuujo: Higurashi no Naku Koro ni Genten,9961,Manga,1,Oct 2011 - Jul 2012,2601,https://myanimelist.net/manga/30139/Hinamizawa_Teiryuujo__Higurashi_no_Naku_Koro_ni_Genten,https://cdn.myanimelist.net/r/100x140/images/manga/1/176843.jpg?s=5a4a82706455a162bea471909d89e674,6.9
14,Mookhyang: Dark Lady,3385,Manhwa,?,Jul 2019 -,2981,https://myanimelist.net/manga/129808/Mookhyang__Dark_Lady,https://cdn.myanimelist.net/r/100x140/images/manga/3/236954.jpg?s=9b5c44089bed67c546039905a04b091c,7.43
15,Bride,11099,Manhwa,?,-,738,https://myanimelist.net/manga/54629/Bride,https://cdn.myanimelist.net/r/100x140/images/manga/3/97207.jpg?s=9b333ce9d899774126f8c8a7464b22d1,6.82
16,I Was the Male Lead's Ex,16437,Manhwa,?,Mar 2021 - Feb 2023,780,https://myanimelist.net/manga/148205/I_Was_the_Male_Leads_Ex,https://cdn.myanimelist.net/r/100x140/images/manga/3/263001.jpg?s=b8091ad66b7e6e21a170111db2f3bba7,6.28
17,Jinrui wo Metsubou sasete wa Ikemasen,956,Manga,4,Sep 2020 - Feb 2022,2733,https://myanimelist.net/manga/131703/Jinrui_wo_Metsubou_sasete_wa_Ikemasen,https://cdn.myanimelist.net/r/100x140/images/manga/1/244404.jpg?s=a02c3aa6b2fca61eb5b0d2fee2b93698,7.9
18,Crepuscule,2753,Manhwa,?,Feb 2011 - Oct 2016,10282,https://myanimelist.net/manga/45771/Crepuscule,https://cdn.myanimelist.net/r/100x140/images/manga/3/189103.jpg?s=5498f32f61227379c6477233e4f002ae,7.51
19,Mononoke: Umibouzu,4544,Manga,2,Sep 2013 - Nov 2014,907,https://myanimelist.net/manga/88229/Mononoke__Umibouzu,https://cdn.myanimelist.net/r/100x140/images/manga/3/155676.jpg?s=8d200163e6476ebde4f0f468844b8e82,7.31
20,Tensura Nikki: Tensei shitara Slime Datta Ken,1429,Manga,?,Apr 2018 -,5315,https://myanimelist.net/manga/117179/Tensura_Nikki__Tensei_shitara_Slime_Datta_Ken,https://cdn.myanimelist.net/r/100x140/images/manga/1/220263.jpg?s=826d1a2dae56cf4787208f2b0a678c3b,7.75
21,Kedamono ni Lollipop,10743,Manga,2,Aug 2014 - Feb 2016,627,https://myanimelist.net/manga/88072/Kedamono_ni_Lollipop,https://cdn.myanimelist.net/r/100x140/images/manga/1/169130.jpg?s=a90b0ccf9914cc1e1f78f22a50b49d9e,6.84
22,High School! Kimengumi,2682,Manga,20,Apr 1982 - Jun 1987,521,https://myanimelist.net/manga/7634/High_School_Kimengumi,https://cdn.myanimelist.net/r/100x140/images/manga/1/187153.jpg?s=c4519c88dd023107704190cbd4e4c84f,7.52
23,Tounan Kadobeya Kare no Koi,15342,Manga,1,Oct 2014 - May 2015,661,https://myanimelist.net/manga/119830/Tounan_Kadobeya_Kare_no_Koi,https://cdn.myanimelist.net/r/100x140/images/manga/1/221589.jpg?s=db3d9938a3e3480189c1ffde5ee3b0bf,6.45
24,Kabu no Isaki,2891,Manga,6,Jun 2007 - Nov 2012,4628,https://myanimelist.net/manga/3321/Kabu_no_Isaki,https://cdn.myanimelist.net/r/100x140/images/manga/2/52905.jpg?s=12602f6e473e8a51dc61710164dde80b,7.49
25,F-Class Destiny Hunter,11040,Manhwa,?,Apr 2023 -,1128,https://myanimelist.net/manga/158399/F-Class_Destiny_Hunter,https://cdn.myanimelist.net/r/100x140/images/manga/2/281202.jpg?s=aa9f437a4b195247b853deffa285ad92,6.82
26,Finlandia: Santa Yousei Gakkou,13485,Manga,2,Dec 2010 - Aug 2011,696,https://myanimelist.net/manga/25475/Finlandia__Santa_Yousei_Gakkou,https://cdn.myanimelist.net/r/100x140/images/manga/3/152674.jpg?s=f7972a06597951b24014fbe1310ed9de,6.63
27,Youkai Niisan,9356,Manga,4,Jun 2015 - Jul 2017,663,https://myanimelist.net/manga/110492/Youkai_Niisan,https://cdn.myanimelist.net/r/100x140/images/manga/3/202968.jpg?s=e2dd0509b200a33f69b622fb6a0d9f80,6.94
28,Mamacolle,5111,Manga,4,2005 - 2008,2869,https://myanimelist.net/manga/2584/Mamacolle,https://cdn.myanimelist.net/r/100x140/images/manga/3/19669.jpg?s=8a9bdd7857a7d4bdae14838b5b01e050,7.26
29,DoLL,16667,Manga,2,Jul 2008 - Aug 2009,981,https://myanimelist.net/manga/13796/DoLL,https://cdn.myanimelist.net/r/100x140/images/manga/3/58489.jpg?s=398c5299972a89d3fc146aa2050d0c6b,6.23
30,Amaesasete Hinamori-san!,6593,Manga,?,Sep 2021 -,1277,https://myanimelist.net/manga/140466/Amaesasete_Hinamori-san,https://cdn.myanimelist.net/r/100x140/images/manga/1/257268.jpg?s=2439e685897213a2655f428963905c7e,7.13
31,Sensor,10621,Manga,1,Aug 2018 - Aug 2019,7270,https://myanimelist.net/manga/115507/Sensor,https://cdn.myanimelist.net/r/100x140/images/manga/1/224108.jpg?s=859de571570ffa1df0b55fe71776a81e,6.85
32,Kaikisen,12710,Manga,1,Mar 1990 - Jun 1990,9759,https://myanimelist.net/manga/5427/Kaikisen,https://cdn.myanimelist.net/r/100x140/images/manga/3/157831.jpg?s=a253c1934b98f561915de2393e6df57f,6.69
33,Boku wa Oneko-sama no Geboku desu.,9061,Manga,4,Oct 2019 - Apr 2021,741,https://myanimelist.net/manga/133651/Boku_wa_Oneko-sama_no_Geboku_desu,https://cdn.myanimelist.net/r/100x140/images/manga/2/241159.jpg?s=d6209a6d7ee44136be02dae27165d0a4,6.96
34,Hetamen,13628,Manga,3,Apr 2011 - Dec 2012,1489,https://myanimelist.net/manga/39795/Hetamen,https://cdn.myanimelist.net/r/100x140/images/manga/4/127421.jpg?s=a987033399e8d5b3b927d4177e437c13,6.62
35,Toscana no Yuuutsu,14511,Manga,1,Apr 2010 - Apr 2010,273,https://myanimelist.net/manga/51293/Toscana_no_Yuuutsu,https://cdn.myanimelist.net/r/100x140/images/manga/3/94461.jpg?s=8b5561521c08db351a9d0738d36a7816,6.54
36,Kanda-kun to Serizawa-san,15742,One-shot,?,Sep 2016 - Sep 2016,396,https://myanimelist.net/manga/109199/Kanda-kun_to_Serizawa-san,https://cdn.myanimelist.net/r/100x140/images/manga/2/199969.jpg?s=072dea8d6eae55e1b6cbb8f1f74e287f,6.4
37,Aibu de Jirashite,17286,Manga,1,Jan 2009 - Jan 2012,1449,https://myanimelist.net/manga/85943/Aibu_de_Jirashite,https://cdn.myanimelist.net/r/100x140/images/manga/1/149455.jpg?s=175b93ff43e51f019176b92a65a10b6e,6.02
38,Durarara!!,257,Light-Novel,13,Apr 2004 - Jan 2014,26192,https://myanimelist.net/manga/16816/Durarara,https://cdn.myanimelist.net/r/100x140/images/manga/2/28766.jpg?s=752243c94ac9dc6472962ffa23f7d339,8.34
39,Hiiragi-san Chi no Kyuuketsu Jijou,11028,Manga,?,Oct 2021 -,3196,https://myanimelist.net/manga/140912/Hiiragi-san_Chi_no_Kyuuketsu_Jijou,https://cdn.myanimelist.net/r/100x140/images/manga/2/259581.jpg?s=d3c672e4b7230d1f12f2ec7a7009e417,6.82
40,Rubbers 7,8745,Manga,7,Oct 2002 - Apr 2007,392,https://myanimelist.net/manga/3079/Rubbers_7,https://cdn.myanimelist.net/r/100x140/images/manga/3/3353.jpg?s=0b80aee1240b12209082815512310b49,6.98
41,Cocoa!,2901,Manga,1,Dec 2004 - 2005,2457,https://myanimelist.net/manga/9837/Cocoa,https://cdn.myanimelist.net/r/100x140/images/manga/1/23346.jpg?s=9acbcdaef413c73dbc617dc4aa295bf5,7.49
42,Bamboo Blade,4184,Manga,14,Dec 2004 - Sep 2010,7890,https://myanimelist.net/manga/720/Bamboo_Blade,https://cdn.myanimelist.net/r/100x140/images/manga/1/28784.jpg?s=5876a6f1c071c7e5934764867e366521,7.34
43,Subarashiki Kono Sekai,17713,Manga,?,Aug 2007 - Sep 2007,2988,https://myanimelist.net/manga/7162/Subarashiki_Kono_Sekai,https://cdn.myanimelist.net/r/100x140/images/manga/1/11540.jpg?s=3ac1a3c56dec36ec420432a79a05f68e,5.59
44,Chou no Ito,10654,One-shot,?,Oct 2014 - Oct 2014,538,https://myanimelist.net/manga/86346/Chou_no_Ito,https://cdn.myanimelist.net/r/100x140/images/manga/3/150031.jpg?s=49d4a57124e1c54214355a7efd19616e,6.85
45,Flower of Life,3158,Manga,4,May 2004 - Jun 2007,1196,https://myanimelist.net/manga/250/Flower_of_Life,https://cdn.myanimelist.net/r/100x140/images/manga/5/29557.jpg?s=243364009ad81f95fd74677e8259c132,7.45
46,Starting Gate!: Uma Musume Pretty Derby,7053,Manga,6,Mar 2017 - Nov 2019,1194,https://myanimelist.net/manga/106804/Starting_Gate__Uma_Musume_Pretty_Derby,https://cdn.myanimelist.net/r/100x140/images/manga/3/198435.jpg?s=8492a9fd5ca44110d7fa5d4d420ed6e2,7.1
47,Shoujo Tsubaki,17344,Manga,1,Sep 1984 - Sep 1984,11537,https://myanimelist.net/manga/9057/Shoujo_Tsubaki,https://cdn.myanimelist.net/r/100x140/images/manga/5/176724.jpg?s=0c5ddddbbaf48a34fadb0a299010bc53,5.98
48,Chuu x2 Trap,17429,Manga,?,Apr 2012 - Jul 2012,474,https://myanimelist.net/manga/45381/Chuu_x2_Trap,https://cdn.myanimelist.net/r/100x140/images/manga/1/80149.jpg?s=e347467c036576daa41bc0fa8177318c,5.91
49,Kurasu Hako,7594,Manga,1,Dec 2010 - Apr 2013,283,https://myanimelist.net/manga/116154/Kurasu_Hako,https://cdn.myanimelist.net/r/100x140/images/manga/2/223775.jpg?s=715edf4a1d6100fd8679b48720412fc6,7.06
50,Koishitagari no Blue,2276,Manga,6,Aug 2007 - Jul 2009,4925,https://myanimelist.net/manga/9122/Koishitagari_no_Blue,https://cdn.myanimelist.net/r/100x140/images/manga/2/261608.jpg?s=fd3f0c17ed037d579503fd7157be87ef,7.58
51,Uncanny Brains,14900,Manga,2,Apr 2013 - May 2014,845,https://myanimelist.net/manga/61635/Uncanny_Brains,https://cdn.myanimelist.net/r/100x140/images/manga/3/106185.jpg?s=86226c674449ae7126a97ce43053e5f6,6.5
52,Shinreigari: Another Side,11913,Manga,2,Mar 2007 - Dec 2007,1065,https://myanimelist.net/manga/10743/Shinreigari__Another_Side,https://cdn.myanimelist.net/r/100x140/images/manga/2/99699.jpg?s=1424ba976e17a46ff6c24e9c79638025,6.75
53,Otomegokoro,6344,Manga,2,Jun 2008 - Oct 2008,6591,https://myanimelist.net/manga/8974/Otomegokoro,https://cdn.myanimelist.net/r/100x140/images/manga/3/12237.jpg?s=9d6b84bafaf799140bdc0611ca9537d3,7.16
54,Kengan Ashura 0,5459,Manga,1,Aug 2015 - Oct 2015,4482,https://myanimelist.net/manga/115098/Kengan_Ashura_0,https://cdn.myanimelist.net/r/100x140/images/manga/3/225037.jpg?s=47b2a0d5d111aefc370286389e7db100,7.23
55,Love Hina: Special Project,9077,One-shot,?,Sep 2010 - Sep 2010,1571,https://myanimelist.net/manga/21883/Love_Hina__Special_Project,https://cdn.myanimelist.net/r/100x140/images/manga/5/35733.jpg?s=a80d5b138a00f794c58b0122e0d3ca50,6.96
56,Rin-chan Now,7554,Manga,3,Mar 2013 - Nov 2014,813,https://myanimelist.net/manga/65091/Rin-chan_Now,https://cdn.myanimelist.net/r/100x140/images/manga/1/194943.jpg?s=1fb69422c995fd51a26290e868a8defa,7.07
57,Kimi no Uta ga Aru,10495,Manga,3,1996 -,587,https://myanimelist.net/manga/21305/Kimi_no_Uta_ga_Aru,https://cdn.myanimelist.net/r/100x140/images/manga/3/34311.jpg?s=eeb73fbab15026533306d94ec3ad374f,6.86
58,"Maoyuu 4-koma: Muitemasen yo, Maou-sama!",10238,Manga,3,Jun 2011 - Oct 2014,898,https://myanimelist.net/manga/33423/Maoyuu_4-koma__Muitemasen_yo_Maou-sama,https://cdn.myanimelist.net/r/100x140/images/manga/2/119229.jpg?s=24f3c8346bb4f636aa4b1875d5b11fbb,6.88
59,Boku no Mei,16279,One-shot,?,May 2012 - May 2012,739,https://myanimelist.net/manga/60479/Boku_no_Mei,https://cdn.myanimelist.net/r/100x140/images/manga/1/104229.jpg?s=db33716a723116d295a7941b5221281c,6.32
60,Outer Zone,4345,Manga,15,Mar 1991 - Mar 1994,489,https://myanimelist.net/manga/73373/Outer_Zone,https://cdn.myanimelist.net/r/100x140/images/manga/3/187161.jpg?s=6c9bbd7f8b8078883812e19b12595d63,7.33
61,Bozebeats,17550,Manga,2,Jan 2018 - Apr 2018,2983,https://myanimelist.net/manga/111214/Bozebeats,https://cdn.myanimelist.net/r/100x140/images/manga/1/209754.jpg?s=fa6a2b6f3089b2781dea5e971c40c9f5,5.81
62,Rinna Keibu wa Iki ga Dekinai,4931,Manga,3,Oct 2016 - Dec 2017,2061,https://myanimelist.net/manga/107104/Rinna_Keibu_wa_Iki_ga_Dekinai,https://cdn.myanimelist.net/r/100x140/images/manga/1/196081.jpg?s=307389d4143cf47f06aa1611b00da8c3,7.27
63,Komi-san wa Comyushou desu.,3840,One-shot,?,Sep 2015 - Sep 2015,21819,https://myanimelist.net/manga/93530/Komi-san_wa_Comyushou_desu,https://cdn.myanimelist.net/r/100x140/images/manga/3/165402.jpg?s=8a08b108ea2ab6b4edc573592fb8b9e7,7.37
64,Migi to Dali,2741,Manga,7,Jul 2017 - Nov 2021,1915,https://myanimelist.net/manga/107774/Migi_to_Dali,https://cdn.myanimelist.net/r/100x140/images/manga/1/210003.jpg?s=7fb29ba4eb0ce5d1b99025fa2d765dc9,7.51
65,Sora to Hara,2596,Manga,1,Dec 2009 - Dec 2011,8780,https://myanimelist.net/manga/19570/Sora_to_Hara,https://cdn.myanimelist.net/r/100x140/images/manga/1/67873.jpg?s=53bf9db4e8647cf80515e7db5ed4dae8,7.53
66,29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta.,16793,Manga,?,Feb 2019 -,5680,https://myanimelist.net/manga/120857/29-sai_Dokushin_wa_Isekai_de_Jiyuu_ni_Ikitakatta,https://cdn.myanimelist.net/r/100x140/images/manga/3/220214.jpg?s=16293168584e09955d8a2e167e6fb281,6.2
67,Hachimitsu to Clover Spin-off,8285,Manga,?,Nov 2006 - Jan 2008,578,https://myanimelist.net/manga/66025/Hachimitsu_to_Clover_Spin-off,https://cdn.myanimelist.net/r/100x140/images/manga/3/113233.jpg?s=71fab943349bf1fe3b0961c491143cf4,7.02
68,Fukigen na Mononokean,436,Manga,18,Sep 2013 - Apr 2021,12402,https://myanimelist.net/manga/67401/Fukigen_na_Mononokean,https://cdn.myanimelist.net/r/100x140/images/manga/3/130743.jpg?s=052c1c4c6099029ddb7966d11093b503,8.18
69,Gabai: Saga no Gabai Baachan,636,Manga,11,2005 - Apr 2010,1722,https://myanimelist.net/manga/19709/Gabai__Saga_no_Gabai_Baachan,https://cdn.myanimelist.net/r/100x140/images/manga/1/196045.jpg?s=0d22b7e0c405c198cdab075dbabd0f18,8.06
70,Sachi-iro no One Room,981,Manga,11,Sep 2016 - Dec 2022,41048,https://myanimelist.net/manga/104829/Sachi-iro_no_One_Room,https://cdn.myanimelist.net/r/100x140/images/manga/1/192115.jpg?s=5e9192ed54ea7290763dd536a23316c2,7.89
71,Renka,13727,Manga,1,1994 - 1994,1105,https://myanimelist.net/manga/1846/Renka,https://cdn.myanimelist.net/r/100x140/images/manga/3/266568.jpg?s=b7c1386266b149882f1d93a2f9a96951,6.61
72,Kono Gomi wo Nanto Yobu,16496,Manga,?,May 2022 -,2617,https://myanimelist.net/manga/147461/Kono_Gomi_wo_Nanto_Yobu,https://cdn.myanimelist.net/r/100x140/images/manga/3/261681.jpg?s=b77a7d0d419078a21c8e8c29a33439e1,6.27
73,Ne0;lation,17235,Manga,3,Dec 2018 - Apr 2019,1972,https://myanimelist.net/manga/116975/Ne0_lation,https://cdn.myanimelist.net/r/100x140/images/manga/1/217671.jpg?s=82f5f34dafcc3f53c4c3d329b8400f17,6.04
74,Seiyuu Ka!,680,Manga,12,Jun 2009 - Feb 2013,14936,https://myanimelist.net/manga/14633/Seiyuu_Ka,https://cdn.myanimelist.net/r/100x140/images/manga/2/269037.jpg?s=4316174c505dd4f6830cb3d766b3d0a0,8.03
75,Beatless: Dystopia,12880,Manga,2,Feb 2012 - Jan 2013,4573,https://myanimelist.net/manga/35159/Beatless__Dystopia,https://cdn.myanimelist.net/r/100x140/images/manga/3/112473.jpg?s=8db53417ee4d323441c171af924e33e2,6.68
76,Komata-kun to Komata-chan,16809,Doujinshi,1,Aug 2010 - Aug 2010,356,https://myanimelist.net/manga/43725/Komata-kun_to_Komata-chan,https://cdn.myanimelist.net/r/100x140/images/manga/3/203756.jpg?s=479e5d913f62bfc597b872d21015374c,6.2
77,Kono Ore ga Omae nanka Suki na Wakenai,2515,Manga,1,Apr 2012 - Nov 2012,10389,https://myanimelist.net/manga/42053/Kono_Ore_ga_Omae_nanka_Suki_na_Wakenai,https://cdn.myanimelist.net/r/100x140/images/manga/3/174400.jpg?s=bbf026081a96ba0d6869f079f1e2011d,7.54
78,Cutie Honey,17664,Manga,1,Jul 1992 - Mar 1993,944,https://myanimelist.net/manga/16941/Cutie_Honey,https://cdn.myanimelist.net/r/100x140/images/manga/3/152788.jpg?s=e833308b1a6f15294df9be4854c32eff,5.66
79,G-Maru Edition,15948,Manga,2,May 2010 - Dec 2012,3892,https://myanimelist.net/manga/21600/G-Maru_Edition,https://cdn.myanimelist.net/r/100x140/images/manga/3/70733.jpg?s=c33b0761abf120f6bd6110fb609a69c5,6.37
80,Mashle,2025,Manga,18,Jan 2020 - Jul 2023,79949,https://myanimelist.net/manga/124085/Mashle,https://cdn.myanimelist.net/r/100x140/images/manga/1/230705.jpg?s=9650dc036bf97685471e0cc500f07ce8,7.63
81,Chitei Ryokou,6720,Manga,4,Sep 2015 - Oct 2017,568,https://myanimelist.net/manga/93181/Chitei_Ryokou,https://cdn.myanimelist.net/r/100x140/images/manga/1/174739.jpg?s=f69bc6f0c7f52f276ee73653f0b9e0b0,7.13
82,Kimi ni Aisarete Itakatta,16013,Manga,?,Jun 2017 -,10664,https://myanimelist.net/manga/107776/Kimi_ni_Aisarete_Itakatta,https://cdn.myanimelist.net/r/100x140/images/manga/2/219898.jpg?s=e234721972f71c0a9bc5f5350b2a28fa,6.36
83,Shaman King: The Super Star,7376,Manga,?,May 2018 -,2766,https://myanimelist.net/manga/114353/Shaman_King__The_Super_Star,https://cdn.myanimelist.net/r/100x140/images/manga/3/215123.jpg?s=8c5882b934ef8a90cc1ad9b57cbd3afe,7.08
84,Astroid,10302,Manga,?,Aug 1989 - May 1991,1637,https://myanimelist.net/manga/102752/Astroid,https://cdn.myanimelist.net/r/100x140/images/manga/3/195929.jpg?s=a622f50c4439e46c1cc16866c17647b9,6.87
85,Boku to Uchuujin,13086,Manga,3,May 2015 - Mar 2016,989,https://myanimelist.net/manga/108452/Boku_to_Uchuujin,https://cdn.myanimelist.net/r/100x140/images/manga/1/198624.jpg?s=5fd89903714bef7db336f066eb10b8ea,6.66
86,Shishi to Cinderella,15372,Manga,1,Nov 2004 - Nov 2004,249,https://myanimelist.net/manga/37123/Shishi_to_Cinderella,https://cdn.myanimelist.net/r/100x140/images/manga/2/66899.jpg?s=a98c4d8e9b27512c65653aeb17b2b042,6.45
87,Itoshi no Karin,2303,Manga,3,Apr 2013 - Dec 2014,13634,https://myanimelist.net/manga/60889/Itoshi_no_Karin,https://cdn.myanimelist.net/r/100x140/images/manga/1/202211.jpg?s=6e5dc6e87395d00638510fe493a9356f,7.58
88,Dolls Fall,17578,Manga,4,Jun 2013 - Jun 2015,4745,https://myanimelist.net/manga/57143/Dolls_Fall,https://cdn.myanimelist.net/r/100x140/images/manga/3/115553.jpg?s=f93bd65e48b335c03fed47f0e5e99e03,5.78
89,Haido Hakase no Jikan Note,12228,One-shot,?,2008 - 2008,482,https://myanimelist.net/manga/25663/Haido_Hakase_no_Jikan_Note,https://cdn.myanimelist.net/r/100x140/images/manga/2/50105.jpg?s=3e07d7d67dac11a04c78e32321a416fc,6.73
90,Sazanami Cherry,11336,Manga,1,Apr 2010 - Aug 2011,3412,https://myanimelist.net/manga/20188/Sazanami_Cherry,https://cdn.myanimelist.net/r/100x140/images/manga/3/128129.jpg?s=d73679398a87de4c8abc856f94f784da,6.8
91,Douki to Tawawa,13416,Doujinshi,1,Aug 2020 - Aug 2020,311,https://myanimelist.net/manga/154463/Douki_to_Tawawa,https://cdn.myanimelist.net/r/100x140/images/manga/3/274165.jpg?s=886c9bf02fa96bdc4dbf8b325e94bc99,6.64
92,Warera Nishizaki Kiba Gundan,17249,One-shot,?,Oct 2011 - Oct 2011,246,https://myanimelist.net/manga/47411/Warera_Nishizaki_Kiba_Gundan,https://cdn.myanimelist.net/r/100x140/images/manga/4/111257.jpg?s=78e30cf7f14cc67933ce98057965cd85,6.04
93,Keetai Kounago H,14699,Manga,?,Nov 2008 - May 2010,578,https://myanimelist.net/manga/15175/Keetai_Kounago_H,https://cdn.myanimelist.net/r/100x140/images/manga/2/156348.jpg?s=4d3328049a717d0f28cd23552218deef,6.52
94,After Friend,8263,One-shot,?,May 2007 - May 2007,3893,https://myanimelist.net/manga/10668/After_Friend,https://cdn.myanimelist.net/r/100x140/images/manga/2/17306.jpg?s=1c1dfc997fc45965956c891cf80bf05c,7.02
95,Discommunication: Seirei-hen,7692,Manga,3,May 1999 - Sep 2000,874,https://myanimelist.net/manga/5681/Discommunication__Seirei-hen,https://cdn.myanimelist.net/r/100x140/images/manga/2/137589.jpg?s=e7e993a4fafb8ab2fe064ed70f39fdbf,7.06
96,Tsuki no Waltz,3152,Manga,1,2008 - 2009,2409,https://myanimelist.net/manga/11683/Tsuki_no_Waltz,https://cdn.myanimelist.net/r/100x140/images/manga/2/17835.jpg?s=f99029f134d9c768400c3ad96dcb50c1,7.46
97,Tiger & Dragon: Osananajimi 3-nin no Otawamure Biyori,12772,Manga,4,Feb 2022 - Mar 2023,919,https://myanimelist.net/manga/144014/Tiger___Dragon__Osananajimi_3-nin_no_Otawamure_Biyori,https://cdn.myanimelist.net/r/100x140/images/manga/3/263459.jpg?s=0f41289b1486f711162755c49a25b1ec,6.69
98,Tekken Chinmi,1625,Manga,35,Apr 1984 - Apr 1997,1767,https://myanimelist.net/manga/1100/Tekken_Chinmi,https://cdn.myanimelist.net/r/100x140/images/manga/2/280452.jpg?s=636f2d575f6452e16b1ffddf4c487afb,7.7
99,Kiseki no Koibana,9823,Manga,1,-,880,https://myanimelist.net/manga/10834/Kiseki_no_Koibana,https://cdn.myanimelist.net/r/100x140/images/manga/3/14582.jpg?s=b450b7b923f73d997942a43f1c522bfa,6.91
100,I.L,2857,Manga,1,Jul 1969 - Mar 1970,505,https://myanimelist.net/manga/18167/IL,https://cdn.myanimelist.net/r/100x140/images/manga/3/177205.jpg?s=4bcdf9b5991620c2eceec8abf670d582,7.49
101,Erotic Horror,13907,Manga,1,Aug 2009 - Aug 2009,1810,https://myanimelist.net/manga/16797/Erotic_Horror,https://cdn.myanimelist.net/r/100x140/images/manga/1/24880.jpg?s=2e3af1260dc9bd6528fed5a5826754ad,6.59
102,Chrome Shelled Regios: Secret Side,6974,Manga,2,Apr 2008 - Apr 2009,833,https://myanimelist.net/manga/12279/Chrome_Shelled_Regios__Secret_Side,https://cdn.myanimelist.net/r/100x140/images/manga/5/151241.jpg?s=d700b2dba8f756060b9e77fe1910789d,7.11
